,seed,actions
21,3944410021,"[0, 1, 0, 2, 0, 0, 2, 2, 1, 3, 2, 3, 1, 3, 3, 0, 3, 2, 1, 2, 2, 0, 3, 0, 3, 3, 1, 2, 3, 2, 1, 2, 2, 0, 3, 2, 2, 0, 3, 3, 1, 1, 3, 0, 3, 0, 2, 2, 1, 2, 0, 0]"
22,3944410022,"[0, 3, 0, 3, 1, 3, 3, 0, 0, 2, 2, 2, 2, 2, 1, 3, 0, 2, 1, 3, 1, 3, 3, 0, 0, 3, 3, 1, 2]"
23,3944410023,"[1, 0, 2, 2, 1, 1, 1, 2, 2, 0, 3, 3, 1, 2, 2, 0, 3, 3, 0, 2, 0, 3, 3, 3, 1, 2, 2, 1, 1, 2, 2, 0, 0, 3, 0, 2, 1, 3, 1, 3, 1, 3, 0, 2, 1, 2, 2, 0, 3, 0, 0, 3, 1, 2, 0, 3, 3, 3, 1, 2, 3, 0, 2, 1, 1, 1, 2, 2, 0, 3, 1, 2, 2, 0, 3, 0, 0, 3, 1, 3, 3, 0, 2, 2, 1, 2, 0, 2, 1, 1, 3, 1, 3, 3, 0, 2, 1, 2, 2, 0, 0, 0, 3, 3, 3, 3, 1, 2, 3, 0, 2, 1, 1, 2, 1, 2, 2, 0, 3, 0, 3, 1, 2, 3, 0, 2, 0, 3, 3, 3, 1, 2, 3, 0, 2, 1, 1, 2, 2, 0, 3, 1, 3, 1, 2, 0, 2, 2, 0, 0, 3, 3, 3, 3, 1, 2, 3, 0, 2, 1, 1, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 0, 2, 1, 2, 1, 2, 0, 0, 3, 0, 2, 1, 3, 1, 3, 3, 1, 2, 0, 1, 3, 0, 0, 3, 0, 2, 2, 2, 1, 3, 1, 2, 2, 1, 1, 3, 0, 0, 3, 1, 2, 2, 0, 0, 0, 3, 3, 3, 3, 1, 2, 3, 0, 2, 1, 1, 2, 1, 2, 2, 0, 0, 0, 3, 1, 3, 2, 1, 3, 2, 2, 0, 0, 3, 3, 3, 1, 3, 0, 2, 1, 2, 1, 2, 2, 1, 1, 3, 0, 2, 3, 3, 3, 0, 2, 1, 2, 2, 0, 0, 0, 3, 3, 3, 1, 3, 0, 2, 1, 2, 1, 1, 2, 0, 3, 1, 3, 0, 2, 1, 2, 2, 0, 0, 0, 3, 3, 3, 1, 3, 0, 2, 1, 2, 1, 1, 2, 2, 0, 0, 0, 3, 1, 1, 3, 1, 3, 0, 2, 2, 1, 2, 3, 0, 3, 0, 2, 0, 3, 3, 3, 1, 2, 3, 0, 2, 1, 1, 2, 1, 2, 2, 0, 3, 0, 3, 1, 1, 2, 1, 0, 2, 1, 1, 3, 2, 0, 3, 0, 2, 0, 3, 3, 0, 2, 0, 3, 3, 3, 1, 2, 2, 1, 1, 2, 2, 0, 0, 3, 0, 3, 1, 3, 1, 2, 1, 2, 2, 0, 3, 1, 2, 0, 3, 0, 3, 1, 2, 3, 0, 3, 1, 1, 2]"
24,3944410024,"[0, 2, 1, 2, 2, 0, 3, 1, 2, 1, 1, 3, 0, 0, 3, 0, 1, 2, 2, 0, 3, 1, 3, 3, 0, 2, 2, 3, 1, 2, 2, 0, 3, 0, 0, 3, 1, 2, 1, 1, 3, 3, 0, 2, 1, 2, 2, 0, 3, 1, 3, 0, 1, 2, 2, 0, 3, 0, 0, 2, 1, 0, 1, 3, 0, 3, 1, 2, 1, 1, 3, 3, 0, 2, 1, 2, 2, 0, 1, 3, 0, 3, 0, 0, 2, 2, 1, 3, 2, 1, 3, 2, 0, 0, 3, 3, 1, 2, 0, 2, 1, 1, 3, 1, 3, 3, 0, 2, 1, 0, 0, 2, 0, 2, 1, 1, 3, 1, 1, 2, 0, 0, 3, 0, 3, 1, 2, 3, 3, 1, 2]"
25,3944410025,"[1, 3, 3, 3, 1, 0, 0, 3, 3, 1, 2, 0, 2, 2, 1, 3, 1, 3, 1, 3, 0, 1, 2, 0, 2, 0, 0, 3, 1, 0, 1, 2, 1, 1, 3, 3, 0, 2, 1, 2, 0, 3, 0, 2, 2, 3, 3, 0, 3, 1, 2, 0, 2, 1, 2, 0, 2, 2, 1, 3, 3, 2, 2, 0, 3, 3, 3, 3, 1, 2, 2, 3, 3, 3, 1, 2, 1, 2, 0, 0, 3, 0, 2, 2, 2, 2, 1, 3, 3, 3, 3, 0, 1, 2, 1, 3, 3, 1, 2, 0, 0, 0, 3, 1, 1]"
26,3944410026,"[1, 3, 3, 3, 1, 3, 3, 0, 0, 2, 3, 1, 1, 2, 2, 0, 2, 0, 3, 1, 1, 3, 3, 0, 2, 3, 0, 2, 1, 2, 3, 0, 2, 2, 2, 1, 3, 3]"
27,3944410027,"[2, 0, 0, 3, 0, 0, 0, 2, 2, 1, 3, 0, 3, 1, 1, 1, 2, 0, 1, 3, 0, 0, 0, 2, 2, 1, 3, 0, 1, 1, 1, 1, 1, 3, 0, 2, 0, 0, 3, 1, 2, 3, 0, 2, 0, 0, 3, 1, 1]"
28,3944410028,"[1, 3, 0, 0]"
29,3944410029,"[1, 3, 0, 1, 1, 1, 2, 0, 3, 0, 0, 2, 2, 1, 3, 1, 0, 0, 3, 3, 1, 2, 0, 2, 2, 1, 3, 1, 3, 1, 3, 0, 1, 2, 0, 2, 0, 0, 3, 1, 0, 1, 2, 1, 1, 3, 3, 0, 2, 1, 0, 0, 0, 3, 1, 2, 1, 1, 2, 0, 3, 1, 3, 0, 1, 2, 0, 0, 0, 2, 1, 1, 0, 3, 0, 3, 1, 2, 0, 2, 1, 1, 3, 1, 3, 1, 2, 2, 0, 3, 0, 0, 3, 1, 2, 1, 2, 0, 3, 3, 0, 2, 0, 2, 2, 1, 3, 1, 0, 0, 3, 3, 1, 2, 0, 1, 3, 1, 2, 1, 2, 1, 1, 3, 0, 3, 0, 2, 0, 0, 0, 2, 1, 1, 0, 3, 1, 1, 3, 0, 1, 2, 0, 2, 1, 3, 0, 0, 0, 3, 1, 2, 0, 2, 1, 1, 3, 1, 3, 1, 2, 1, 2, 0, 1, 3, 0, 3, 0, 2, 0, 0, 3, 1, 2, 1, 1, 2, 0, 3, 0, 3, 1, 2, 2, 0, 3, 1, 3, 0, 0, 2, 0, 2, 2, 1, 3, 1, 0, 0, 3, 3, 1, 2, 0, 1, 3, 1, 1, 2, 0, 2, 1, 1, 1, 3, 3, 0, 2, 1, 2, 0, 0, 3, 0, 3, 0, 2, 0, 2, 1, 1, 0, 3, 0, 3, 1, 1, 2, 1, 1, 3, 0, 2, 0, 2, 1, 3, 3, 0, 1, 2, 2, 1, 3, 1, 2, 3, 2, 0, 3, 3, 0, 2, 0, 0, 0, 3, 1, 1, 1, 1]"
30,3944410030,"[2, 1, 2, 0, 1, 2, 0, 0, 0, 3, 3, 0, 2, 0, 2, 1, 1, 1, 1, 3, 0]"
